version,run_id,experiment_kind,condition_id,replicate_index,batch.version,batch.batch_run_id,batch.shuffle,batch.order_seed,batch.warmup_runs,execution_order_index,timestamp_utc,seed,profile,artifact.experiment_record_json_bytes,environment.python_version,environment.python_implementation,environment.numpy_version,environment.liboqs_python_version,environment.liboqs_version,environment.cryptography_version,environment.quantumsec_version,environment.os,environment.os_release,environment.os_version,environment.machine_architecture,environment.cpu_identifier,environment.git_commit_sha,environment.git_worktree_dirty,config.version,config.experiment_kind,config.condition_id,config.replicate_index,config.seed,config.session.version,config.session.profile,config.session.qkd_authentication_profile,config.session.qkd_signal_count,config.session.qkd_postprocessing,config.session.internal_pqc_profile,config.tags,config_json,qkd_stages_json,provisioning.pqc_identities,provisioning.qkd_authentication_material,provisioning.qkd_authentication_material_bytes_per_direction,provisioning.pqc_alice_identity_generation_time_ns,provisioning.pqc_bob_identity_generation_time_ns,provisioning.pqc_total_identity_generation_time_ns,provisioning.pqc_public_identity_bytes,provisioning.included_in_session_timings,result.version,result.session_id,result.profile,result.status,result.abort_reason,result.established_key.type,result.established_key.bit_length,result.provenance_json,result.authentication_json,result.public_context_json,metrics.qkd.simulation_time_ns,metrics.qkd.n_raw,metrics.qkd.n_sifted,metrics.qkd.n_disclosed,metrics.qkd.n_candidate,metrics.qkd.n_reconciled,metrics.qkd.n_final,metrics.qkd.sifting_efficiency,metrics.qkd.final_secret_fraction,metrics.qkd.estimated_qber_z,metrics.qkd.estimated_qber_x,metrics.qkd.estimated_qber_aggregated,metrics.qkd.estimated_z_errors,metrics.qkd.estimated_z_trials,metrics.qkd.estimated_x_errors,metrics.qkd.estimated_x_trials,metrics.qkd.estimated_aggregate_errors,metrics.qkd.estimated_aggregate_trials,metrics.qkd.phase_error_bound,metrics.qkd.diagnostic_full_sifted_qber,metrics.qkd.diagnostic_qber_z,metrics.qkd.diagnostic_qber_x,metrics.qkd.diagnostic_qber_aggregated,metrics.qkd.transcript_bytes,metrics.pqc.internal_profile,metrics.pqc.algorithms,metrics.pqc.server_offer_time_ns,metrics.pqc.server_processing_time_ns,metrics.pqc.client_exchange_time_ns,metrics.pqc.client_processing_time_ns,metrics.pqc.key_schedule_time_ns,metrics.pqc.confirmation_time_ns,metrics.pqc.crypto_software_time_ns,metrics.pqc.ml_kem_keygen_time_ns,metrics.pqc.hqc_keygen_time_ns,metrics.pqc.server_offer_sign_time_ns,metrics.pqc.server_offer_verify_time_ns,metrics.pqc.ml_kem_encapsulate_time_ns,metrics.pqc.hqc_encapsulate_time_ns,metrics.pqc.client_exchange_sign_time_ns,metrics.pqc.client_exchange_verify_time_ns,metrics.pqc.ml_kem_decapsulate_time_ns,metrics.pqc.hqc_decapsulate_time_ns,metrics.pqc.transcript_construction_hash_time_ns,metrics.pqc.kem_combiner_encoding_time_ns,metrics.pqc.hkdf_session_time_ns,metrics.pqc.hkdf_confirmation_time_ns,metrics.pqc.finished_generation_time_ns,metrics.pqc.finished_verification_time_ns,metrics.pqc.kem_public_key_bytes,metrics.pqc.kem_ciphertext_bytes,metrics.pqc.canonical_protocol_bytes,metrics.pqc.transcript_bytes,metrics.pqc.signature_bytes,metrics.pqc.finished_bytes,metrics.pqc.public_key_provisioning_bytes,metrics.pqc.serialized_transport_bytes,metrics.qkd_authentication.mechanism,metrics.qkd_authentication.algorithm,metrics.qkd_authentication.family,metrics.qkd_authentication.authenticated_bytes,metrics.qkd_authentication.evidence_bytes,metrics.qkd_authentication.checkpoints,metrics.qkd_authentication.generation_operations,metrics.qkd_authentication.verification_operations,metrics.qkd_authentication.generation_time_ns,metrics.qkd_authentication.verification_time_ns,metrics.qkd_authentication.total_time_ns,metrics.qkd_authentication.trust_assumption,metrics.qkd_authentication.secret_bits_consumed,metrics.qkd_authentication.public_key_provisioning_bytes,metrics.qkd_authentication.forgery_bound,metrics.qkd_authentication.runtime_environment,metrics.pqc_authentication.mechanism,metrics.pqc_authentication.algorithm,metrics.pqc_authentication.executed,metrics.pqc_authentication.verified,metrics.pqc_authentication.signatures_generated,metrics.pqc_authentication.signatures_verified,metrics.pqc_authentication.signature_bytes,metrics.pqc_authentication.trust_assumption,metrics.hybrid.component_count,metrics.hybrid.component_metadata_bytes,metrics.hybrid.qkd_contribution_bits,metrics.hybrid.ml_kem_contribution_bytes,metrics.hybrid.hqc_contribution_bytes,metrics.hybrid.canonical_combiner_input_bytes,metrics.hybrid.encoding_overhead_bytes,metrics.hybrid.public_context_bytes,metrics.hybrid.encoding_time_ns,metrics.hybrid.hkdf_session_time_ns,metrics.hybrid.hkdf_confirmation_time_ns,metrics.hybrid.finished_generation_time_ns,metrics.hybrid.finished_verification_time_ns,metrics.hybrid.finished_responder_bytes,metrics.hybrid.finished_initiator_bytes,metrics.hybrid.derived_session_key_bits,metrics.orchestration_software_wall_time_ns,trace_json
1,64b8b4f8-b3fe-401d-8662-a9514d3c27f2,E5,hybrid-diverse,0,1,c12458b2-9944-4418-8cab-7e7e705c5a15,true,705001,4,0,2026-09-08T07:42:11.289663+00:00,202750332253653075,HYBRID-DIVERSE,11274,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E5,hybrid-diverse,0,202750332253653075,1,HYBRID-DIVERSE,QKD-PQC-AUTH,1024,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",high,[],"{""condition_id"":""hybrid-diverse"",""experiment_kind"":""E5"",""qkd_stages"":[{""type"":""identity""}],""replicate_index"":0,""seed"":202750332253653075,""session"":{""internal_pqc_profile"":""high"",""profile"":""HYBRID-DIVERSE"",""qkd_authentication_profile"":""QKD-PQC-AUTH"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":1024,""version"":1},""tags"":[],""version"":1}","[{""type"":""identity""}]",persistent pre-provisioned ML-DSA identities and peer trust,persistent pre-provisioned ML-DSA identities; fresh anti-replay registry per run,,858400,668600,1527000,3904,false,1,6862cc1dcad2f01ccc3ff6ada97f6e51,HYBRID-DIVERSE,established,,session_key,256,"[{""algorithm"":""BB84-final-key"",""bit_length"":388,""byte_length"":49,""encoding"":""packed-bits-big-endian"",""position"":1,""protocol"":""BB84"",""source"":""qkd""},{""algorithm"":""ML-KEM-768"",""bit_length"":256,""byte_length"":32,""encoding"":""raw-bytes"",""position"":2,""protocol"":""authenticated KEM handshake"",""source"":""pqc""},{""algorithm"":""HQC-3"",""bit_length"":256,""byte_length"":32,""encoding"":""raw-bytes"",""position"":3,""protocol"":""authenticated KEM handshake"",""source"":""pqc""}]","{""pqc_exchange"":{""algorithm"":""ML-DSA-65"",""executed"":true,""mechanism"":""mutual digital signatures"",""purpose"":""PQC contribution authentication"",""trust_assumption"":""Peer ML-DSA public identities were pre-provisioned out of band."",""verified"":true},""qkd_classical"":{""algorithm"":""ML-DSA-65"",""executed"":true,""mechanism"":""ml_dsa_65"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session."",""verified"":true}}","{""hybrid_context_hash_sha384"":""2f0a58417c4f3792adde9a11c349f444f7fb549eb33be3cd8b035a1090e018c639164307da75b50f26090e39b8e5f9a2"",""hybrid_context_version"":1,""hybrid_encoding_version"":1,""pqc_transcript_hash_sha384"":""391e00f37aa3d0ea75c0bcdfd78a8081a0b1146c72b914f48f5fa7fe47624a43cfe0e2348c0fa716d6dd95c61c13bf13"",""qkd_transcript_hash_sha384"":""50d8e6383735a5f3e059f5d8b4e6a59d72e625ff4372803b4b77dff789c47307657f9cc435fef4276472f1390bfaad38""}",154791500,1024,531,107,424,424,388,0.5185546875,0.37890625,0.0,0.0,0.0,0,54,0,53,0,107,0.0,0.0,0.0,0.0,0.0,53662,high,"[""ML-KEM-768"",""HQC-3"",""ML-DSA-65"",""HKDF-SHA-384"",""HMAC-SHA-384""]",15713500,27607000,4553500,41989400,0,0,89863400,296700,13256100,2108500,837700,308500,26419200,4481100,904400,357100,40666500,136400,0,0,0,0,0,5698,10066,16105,22852,6618,0,3904,,ml_dsa_65,ML-DSA-65,post-quantum digital signature,107622,6618,2,2,2,13524800,3084200,16609000,Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session.,,3904,,"{""implementation"":""cpython"",""liboqs"":""0.16.0"",""liboqs-python"":""0.16.0"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",mutual digital signatures,ML-DSA-65,true,true,2,2,6618,Peer ML-DSA public identities were pre-provisioned out of band.,3,"[102,89,81]",388,32,32,458,345,289,35300,81400,49700,62100,50100,241,241,256,262224200,"{""events"":[{""detail"":""HYBRID-DIVERSE"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Responder KEM offer signed."",""sequence"":1,""source"":""pqc"",""stage"":""server_offer"",""state"":""created""},{""detail"":""Responder identity verified."",""sequence"":2,""source"":""pqc"",""stage"":""server_offer_authentication"",""state"":""verified""},{""detail"":""Initiator encapsulations signed."",""sequence"":3,""source"":""pqc"",""stage"":""client_exchange"",""state"":""created""},{""detail"":""Initiator identity verified."",""sequence"":4,""source"":""pqc"",""stage"":""client_exchange_authentication"",""state"":""verified""},{""detail"":""BB84 post-processing completed."",""sequence"":5,""source"":""qkd"",""stage"":""bb84"",""state"":""completed""},{""detail"":""Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session."",""sequence"":6,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""executed_verified""},{""detail"":""Final key released after all profile checks."",""sequence"":7,""source"":""qkd"",""stage"":""key_release"",""state"":""released""},{""detail"":""Canonical ordered contributions encoded."",""sequence"":8,""source"":""hybrid"",""stage"":""combiner_input"",""state"":""encoded""},{""detail"":""Alice verified Bob's hybrid Finished."",""sequence"":9,""source"":""hybrid"",""stage"":""finished_b"",""state"":""verified""},{""detail"":""Bob verified Alice's chained hybrid Finished."",""sequence"":10,""source"":""hybrid"",""stage"":""finished_a"",""state"":""verified""},{""detail"":""Mutually confirmed hybrid session key released."",""sequence"":11,""source"":""session"",""stage"":""session"",""state"":""established""}],""version"":1}"
1,5c99f9f8-ffd5-497c-9026-f1d0119c793a,E5,pqc-base,0,1,c12458b2-9944-4418-8cab-7e7e705c5a15,true,705001,4,1,2026-09-08T07:42:11.360187+00:00,,PQC-BASE,6496,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E5,pqc-base,0,,1,PQC-BASE,,,,low,[],"{""condition_id"":""pqc-base"",""experiment_kind"":""E5"",""qkd_stages"":[],""replicate_index"":0,""seed"":null,""session"":{""internal_pqc_profile"":""low"",""profile"":""PQC-BASE"",""qkd_authentication_profile"":null,""qkd_postprocessing"":null,""qkd_signal_count"":null,""version"":1},""tags"":[],""version"":1}",[],persistent pre-provisioned ML-DSA identities and peer trust,,,858400,668600,1527000,3904,false,1,a2371d621f8427bf87143c6120319d36,PQC-BASE,established,,session_key,256,"[{""algorithm"":""ML-KEM-768"",""bit_length"":256,""byte_length"":32,""encoding"":""raw KEM secret via canonical PQC KDF input"",""position"":1,""protocol"":""authenticated KEM handshake"",""source"":""pqc""}]","{""pqc_exchange"":{""algorithm"":""ML-DSA-65"",""executed"":true,""mechanism"":""mutual digital signatures"",""purpose"":""PQC handshake authentication"",""trust_assumption"":""Peer ML-DSA public identities were pre-provisioned out of band."",""verified"":true},""qkd_classical"":null}","{""pqc_protocol_version"":1,""pqc_transcript_hash_sha384"":""10ef0604e4f5c8caf7dd188870c848e0837998875301a576e26d79ac6a30d81346a4f51e8b36152f3c6a89fcd6cba5bd""}",,,,,,,,,,,,,,,,,,,,,,,,,low,"[""ML-KEM-768"",""ML-DSA-65"",""HKDF-SHA-384"",""HMAC-SHA-384""]",4892600,1121700,2400400,1119600,133400,243200,9910900,288400,,4562400,778500,308600,,2354600,748700,338600,,181800,15700,48900,24800,37800,22100,1184,1088,2585,9332,6618,96,3904,,,,,,,,,,,,,,,,,,mutual digital signatures,ML-DSA-65,true,true,2,2,6618,Peer ML-DSA public identities were pre-provisioned out of band.,,,,,,,,,,,,,,,,,10036600,"{""events"":[{""detail"":""PQC-BASE"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Responder KEM offer signed."",""sequence"":1,""source"":""pqc"",""stage"":""server_offer"",""state"":""created""},{""detail"":""Responder identity verified."",""sequence"":2,""source"":""pqc"",""stage"":""server_offer_authentication"",""state"":""verified""},{""detail"":""Initiator encapsulations signed."",""sequence"":3,""source"":""pqc"",""stage"":""client_exchange"",""state"":""created""},{""detail"":""Initiator identity verified."",""sequence"":4,""source"":""pqc"",""stage"":""client_exchange_authentication"",""state"":""verified""},{""detail"":""Role-local session and confirmation schedules started."",""sequence"":5,""source"":""pqc"",""stage"":""key_schedule"",""state"":""derived""},{""detail"":""Both role-separated Finished messages verified."",""sequence"":6,""source"":""pqc"",""stage"":""finished"",""state"":""verified""},{""detail"":""Confirmed PQC session key released."",""sequence"":7,""source"":""session"",""stage"":""session"",""state"":""established""}],""version"":1}"
1,f93513ca-48c0-424a-9b06-1f73bafde767,E5,pqc-diverse,0,1,c12458b2-9944-4418-8cab-7e7e705c5a15,true,705001,4,2,2026-09-08T07:42:11.509779+00:00,,PQC-DIVERSE,6817,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E5,pqc-diverse,0,,1,PQC-DIVERSE,,,,high,[],"{""condition_id"":""pqc-diverse"",""experiment_kind"":""E5"",""qkd_stages"":[],""replicate_index"":0,""seed"":null,""session"":{""internal_pqc_profile"":""high"",""profile"":""PQC-DIVERSE"",""qkd_authentication_profile"":null,""qkd_postprocessing"":null,""qkd_signal_count"":null,""version"":1},""tags"":[],""version"":1}",[],persistent pre-provisioned ML-DSA identities and peer trust,,,858400,668600,1527000,3904,false,1,958f5e627b7ce55e3161346bb4feff3f,PQC-DIVERSE,established,,session_key,256,"[{""algorithm"":""ML-KEM-768"",""bit_length"":256,""byte_length"":32,""encoding"":""raw KEM secret via canonical PQC KDF input"",""position"":1,""protocol"":""authenticated KEM handshake"",""source"":""pqc""},{""algorithm"":""HQC-3"",""bit_length"":256,""byte_length"":32,""encoding"":""raw KEM secret via canonical PQC KDF input"",""position"":2,""protocol"":""authenticated KEM handshake"",""source"":""pqc""}]","{""pqc_exchange"":{""algorithm"":""ML-DSA-65"",""executed"":true,""mechanism"":""mutual digital signatures"",""purpose"":""PQC handshake authentication"",""trust_assumption"":""Peer ML-DSA public identities were pre-provisioned out of band."",""verified"":true},""qkd_classical"":null}","{""pqc_protocol_version"":1,""pqc_transcript_hash_sha384"":""6da08c5b9e013191d7bb41698a26235e0ab80f2358e91cd897dce6ff0f038d2929f5773d00b0d6de5c974d94e0499c85""}",,,,,,,,,,,,,,,,,,,,,,,,,high,"[""ML-KEM-768"",""HQC-3"",""ML-DSA-65"",""HKDF-SHA-384"",""HMAC-SHA-384""]",17247000,27648700,1450300,42703000,194700,337400,89581100,303200,13236400,3660700,846400,309000,26452600,1383400,902400,354300,41386300,354600,20400,51200,25900,37900,23400,5698,10066,16105,22852,6618,96,3904,,,,,,,,,,,,,,,,,,mutual digital signatures,ML-DSA-65,true,true,2,2,6618,Peer ML-DSA public identities were pre-provisioned out of band.,,,,,,,,,,,,,,,,,89772900,"{""events"":[{""detail"":""PQC-DIVERSE"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Responder KEM offer signed."",""sequence"":1,""source"":""pqc"",""stage"":""server_offer"",""state"":""created""},{""detail"":""Responder identity verified."",""sequence"":2,""source"":""pqc"",""stage"":""server_offer_authentication"",""state"":""verified""},{""detail"":""Initiator encapsulations signed."",""sequence"":3,""source"":""pqc"",""stage"":""client_exchange"",""state"":""created""},{""detail"":""Initiator identity verified."",""sequence"":4,""source"":""pqc"",""stage"":""client_exchange_authentication"",""state"":""verified""},{""detail"":""Role-local session and confirmation schedules started."",""sequence"":5,""source"":""pqc"",""stage"":""key_schedule"",""state"":""derived""},{""detail"":""Both role-separated Finished messages verified."",""sequence"":6,""source"":""pqc"",""stage"":""finished"",""state"":""verified""},{""detail"":""Confirmed PQC session key released."",""sequence"":7,""source"":""session"",""stage"":""session"",""state"":""established""}],""version"":1}"
1,4773e64b-2d73-44c1-8de8-66dfd4e652b9,E5,hybrid,0,1,c12458b2-9944-4418-8cab-7e7e705c5a15,true,705001,4,3,2026-09-08T07:42:11.747337+00:00,11592527119588117428,HYBRID,10951,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E5,hybrid,0,11592527119588117428,1,HYBRID,QKD-PQC-AUTH,1024,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",low,[],"{""condition_id"":""hybrid"",""experiment_kind"":""E5"",""qkd_stages"":[{""type"":""identity""}],""replicate_index"":0,""seed"":11592527119588117428,""session"":{""internal_pqc_profile"":""low"",""profile"":""HYBRID"",""qkd_authentication_profile"":""QKD-PQC-AUTH"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":1024,""version"":1},""tags"":[],""version"":1}","[{""type"":""identity""}]",persistent pre-provisioned ML-DSA identities and peer trust,persistent pre-provisioned ML-DSA identities; fresh anti-replay registry per run,,858400,668600,1527000,3904,false,1,d4fc0a00c04ab95413bc97e1874d572e,HYBRID,established,,session_key,256,"[{""algorithm"":""BB84-final-key"",""bit_length"":373,""byte_length"":47,""encoding"":""packed-bits-big-endian"",""position"":1,""protocol"":""BB84"",""source"":""qkd""},{""algorithm"":""ML-KEM-768"",""bit_length"":256,""byte_length"":32,""encoding"":""raw-bytes"",""position"":2,""protocol"":""authenticated KEM handshake"",""source"":""pqc""}]","{""pqc_exchange"":{""algorithm"":""ML-DSA-65"",""executed"":true,""mechanism"":""mutual digital signatures"",""purpose"":""PQC contribution authentication"",""trust_assumption"":""Peer ML-DSA public identities were pre-provisioned out of band."",""verified"":true},""qkd_classical"":{""algorithm"":""ML-DSA-65"",""executed"":true,""mechanism"":""ml_dsa_65"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session."",""verified"":true}}","{""hybrid_context_hash_sha384"":""5f8100fb6d78a08e827e0bdcfe524c0595af20a2e6edbe68cb7a4d46c889c01f3668f4977dd49a4bcf0538f1e4c6bcdf"",""hybrid_context_version"":1,""hybrid_encoding_version"":1,""pqc_transcript_hash_sha384"":""bad1dc733be92a9c0dec29baeba6c77db959be25d1c3e0e8147b222ced88c0a6d901b6eea7b6b19bc8b71e87ae81846e"",""qkd_transcript_hash_sha384"":""cd9ae4bc63b5707ee748ee1ac4dfd4bdec6d290c958c146e12594b63f3dc0c07db1f954abd34a2d499d31f3e5aee6cce""}",154978800,1024,513,104,409,409,373,0.5009765625,0.3642578125,0.0,0.0,0.0,0,51,0,53,0,104,0.0,0.0,0.0,0.0,0.0,52016,low,"[""ML-KEM-768"",""ML-DSA-65"",""HKDF-SHA-384"",""HMAC-SHA-384""]",1903300,1136100,7434300,1146200,0,0,11619900,297900,,1569900,785200,318500,,7388700,765100,347600,,67600,0,0,0,0,0,1184,1088,2585,9332,6618,0,3904,,ml_dsa_65,ML-DSA-65,post-quantum digital signature,104330,6618,2,2,2,7477000,3612700,11089700,Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session.,,3904,,"{""implementation"":""cpython"",""liboqs"":""0.16.0"",""liboqs-python"":""0.16.0"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",mutual digital signatures,ML-DSA-65,true,true,2,2,6618,Peer ML-DSA public identities were pre-provisioned out of band.,2,"[102,89]",373,32,,335,256,267,51200,83900,48100,75500,72500,233,233,256,178716700,"{""events"":[{""detail"":""HYBRID"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Responder KEM offer signed."",""sequence"":1,""source"":""pqc"",""stage"":""server_offer"",""state"":""created""},{""detail"":""Responder identity verified."",""sequence"":2,""source"":""pqc"",""stage"":""server_offer_authentication"",""state"":""verified""},{""detail"":""Initiator encapsulations signed."",""sequence"":3,""source"":""pqc"",""stage"":""client_exchange"",""state"":""created""},{""detail"":""Initiator identity verified."",""sequence"":4,""source"":""pqc"",""stage"":""client_exchange_authentication"",""state"":""verified""},{""detail"":""BB84 post-processing completed."",""sequence"":5,""source"":""qkd"",""stage"":""bb84"",""state"":""completed""},{""detail"":""Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session."",""sequence"":6,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""executed_verified""},{""detail"":""Final key released after all profile checks."",""sequence"":7,""source"":""qkd"",""stage"":""key_release"",""state"":""released""},{""detail"":""Canonical ordered contributions encoded."",""sequence"":8,""source"":""hybrid"",""stage"":""combiner_input"",""state"":""encoded""},{""detail"":""Alice verified Bob's hybrid Finished."",""sequence"":9,""source"":""hybrid"",""stage"":""finished_b"",""state"":""verified""},{""detail"":""Bob verified Alice's chained hybrid Finished."",""sequence"":10,""source"":""hybrid"",""stage"":""finished_a"",""state"":""verified""},{""detail"":""Mutually confirmed hybrid session key released."",""sequence"":11,""source"":""session"",""stage"":""session"",""state"":""established""}],""version"":1}"
