profile,n,authentication_executed,authentication_verified,mechanism,trust_assumption,authenticated_bytes_median,authenticated_bytes_iqr,evidence_bytes_median,evidence_bytes_iqr,checkpoints_median,checkpoints_iqr,generation_operations_median,generation_operations_iqr,verification_operations_median,verification_operations_iqr,generation_time_median_ns,generation_time_iqr_ns,verification_time_median_ns,verification_time_iqr_ns,total_time_median_ns,total_time_iqr_ns,secret_bits_consumed_median,secret_bits_consumed_iqr,public_key_provisioning_bytes_median,public_key_provisioning_bytes_iqr,forgery_bound
QKD-ASSUMED,30,False,,assumed,The classical BB84 channel is assumed authenticated externally.,,,,,,,,,,,,,,,,,,,,,
QKD-CLASSICAL-AUTH,30,True,True,wegman_carter,"Alice and Bob hold identical, uniformly random, pre-shared authentication material; every Toeplitz selector and one-time tag mask is fresh and never reused.",769839.0,9619.5,32.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1458720950.0,8936475.0,1461172900.0,13482250.0,2920438950.0,13869075.0,6159222.0,76956.0,,,<= 2^-128 per fresh-key checkpoint
QKD-PQC-AUTH,30,True,True,ml_dsa_65,Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session.,769839.0,9619.5,6618.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,17308650.0,3965725.0,13425400.0,264300.0,30826300.0,4145875.0,,,3904.0,0.0,
