version,run_id,experiment_kind,condition_id,replicate_index,batch.version,batch.batch_run_id,batch.shuffle,batch.order_seed,batch.warmup_runs,execution_order_index,timestamp_utc,seed,profile,artifact.experiment_record_json_bytes,environment.python_version,environment.python_implementation,environment.numpy_version,environment.liboqs_python_version,environment.liboqs_version,environment.cryptography_version,environment.quantumsec_version,environment.os,environment.os_release,environment.os_version,environment.machine_architecture,environment.cpu_identifier,environment.git_commit_sha,environment.git_worktree_dirty,config.version,config.experiment_kind,config.condition_id,config.replicate_index,config.seed,config.session.version,config.session.profile,config.session.qkd_authentication_profile,config.session.qkd_signal_count,config.session.qkd_postprocessing,config.session.internal_pqc_profile,config.tags,config_json,qkd_stages_json,provisioning.pqc_identities,provisioning.qkd_authentication_material,provisioning.qkd_authentication_material_bytes_per_direction,provisioning.pqc_alice_identity_generation_time_ns,provisioning.pqc_bob_identity_generation_time_ns,provisioning.pqc_total_identity_generation_time_ns,provisioning.pqc_public_identity_bytes,provisioning.included_in_session_timings,result.version,result.session_id,result.profile,result.status,result.abort_reason,result.established_key.type,result.established_key.bit_length,result.provenance_json,result.authentication_json,result.public_context_json,metrics.qkd.simulation_time_ns,metrics.qkd.n_raw,metrics.qkd.n_sifted,metrics.qkd.n_disclosed,metrics.qkd.n_candidate,metrics.qkd.n_reconciled,metrics.qkd.n_final,metrics.qkd.sifting_efficiency,metrics.qkd.final_secret_fraction,metrics.qkd.estimated_qber_z,metrics.qkd.estimated_qber_x,metrics.qkd.estimated_qber_aggregated,metrics.qkd.estimated_z_errors,metrics.qkd.estimated_z_trials,metrics.qkd.estimated_x_errors,metrics.qkd.estimated_x_trials,metrics.qkd.estimated_aggregate_errors,metrics.qkd.estimated_aggregate_trials,metrics.qkd.phase_error_bound,metrics.qkd.diagnostic_full_sifted_qber,metrics.qkd.diagnostic_qber_z,metrics.qkd.diagnostic_qber_x,metrics.qkd.diagnostic_qber_aggregated,metrics.qkd.transcript_bytes,metrics.pqc.internal_profile,metrics.pqc.algorithms,metrics.pqc.server_offer_time_ns,metrics.pqc.server_processing_time_ns,metrics.pqc.client_exchange_time_ns,metrics.pqc.client_processing_time_ns,metrics.pqc.key_schedule_time_ns,metrics.pqc.confirmation_time_ns,metrics.pqc.crypto_software_time_ns,metrics.pqc.ml_kem_keygen_time_ns,metrics.pqc.hqc_keygen_time_ns,metrics.pqc.server_offer_sign_time_ns,metrics.pqc.server_offer_verify_time_ns,metrics.pqc.ml_kem_encapsulate_time_ns,metrics.pqc.hqc_encapsulate_time_ns,metrics.pqc.client_exchange_sign_time_ns,metrics.pqc.client_exchange_verify_time_ns,metrics.pqc.ml_kem_decapsulate_time_ns,metrics.pqc.hqc_decapsulate_time_ns,metrics.pqc.transcript_construction_hash_time_ns,metrics.pqc.kem_combiner_encoding_time_ns,metrics.pqc.hkdf_session_time_ns,metrics.pqc.hkdf_confirmation_time_ns,metrics.pqc.finished_generation_time_ns,metrics.pqc.finished_verification_time_ns,metrics.pqc.kem_public_key_bytes,metrics.pqc.kem_ciphertext_bytes,metrics.pqc.canonical_protocol_bytes,metrics.pqc.transcript_bytes,metrics.pqc.signature_bytes,metrics.pqc.finished_bytes,metrics.pqc.public_key_provisioning_bytes,metrics.pqc.serialized_transport_bytes,metrics.qkd_authentication.mechanism,metrics.qkd_authentication.algorithm,metrics.qkd_authentication.family,metrics.qkd_authentication.authenticated_bytes,metrics.qkd_authentication.evidence_bytes,metrics.qkd_authentication.checkpoints,metrics.qkd_authentication.generation_operations,metrics.qkd_authentication.verification_operations,metrics.qkd_authentication.generation_time_ns,metrics.qkd_authentication.verification_time_ns,metrics.qkd_authentication.total_time_ns,metrics.qkd_authentication.trust_assumption,metrics.qkd_authentication.secret_bits_consumed,metrics.qkd_authentication.public_key_provisioning_bytes,metrics.qkd_authentication.forgery_bound,metrics.qkd_authentication.runtime_environment,metrics.pqc_authentication.mechanism,metrics.pqc_authentication.algorithm,metrics.pqc_authentication.executed,metrics.pqc_authentication.verified,metrics.pqc_authentication.signatures_generated,metrics.pqc_authentication.signatures_verified,metrics.pqc_authentication.signature_bytes,metrics.pqc_authentication.trust_assumption,metrics.hybrid.component_count,metrics.hybrid.component_metadata_bytes,metrics.hybrid.qkd_contribution_bits,metrics.hybrid.ml_kem_contribution_bytes,metrics.hybrid.hqc_contribution_bytes,metrics.hybrid.canonical_combiner_input_bytes,metrics.hybrid.encoding_overhead_bytes,metrics.hybrid.public_context_bytes,metrics.hybrid.encoding_time_ns,metrics.hybrid.hkdf_session_time_ns,metrics.hybrid.hkdf_confirmation_time_ns,metrics.hybrid.finished_generation_time_ns,metrics.hybrid.finished_verification_time_ns,metrics.hybrid.finished_responder_bytes,metrics.hybrid.finished_initiator_bytes,metrics.hybrid.derived_session_key_bits,metrics.orchestration_software_wall_time_ns,trace_json
1,656c6ec4-d5a6-49d7-95bc-d899fa0b715e,E3,intercept-0.0,0,1,3439fa15-a842-4cec-993c-afe4b9adef3d,false,,0,0,2026-09-08T07:42:07.618538+00:00,9439503444925461181,QKD-ASSUMED,6217,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E3,intercept-0.0,0,9439503444925461181,1,QKD-ASSUMED,QKD-ASSUMED,512,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""intercept-0.0"",""experiment_kind"":""E3"",""qkd_stages"":[{""intercept_fraction"":0.0,""type"":""intercept_resend""}],""replicate_index"":0,""seed"":9439503444925461181,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-ASSUMED"",""qkd_authentication_profile"":""QKD-ASSUMED"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":512,""version"":1},""tags"":[],""version"":1}","[{""intercept_fraction"":0.0,""type"":""intercept_resend""}]",,authentication explicitly assumed; no runtime material,,,,,,false,1,d830c90c7122d0e194be076810276b1a,QKD-ASSUMED,established,,qkd_bitstring,158,"[{""algorithm"":""privacy-amplified-bitstring"",""bit_length"":158,""byte_length"":20,""encoding"":""big-endian packed bits with explicit bit length"",""position"":1,""protocol"":""BB84"",""source"":""qkd""}]","{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""none"",""executed"":false,""mechanism"":""assumed"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""The classical BB84 channel is assumed authenticated externally."",""verified"":null}}","{""qkd_transcript_hash_sha384"":""1c04f14cab153c0c34deadf71b06aa2bdb4e8fdac684c79b4012c7513b5cbf20156c54c99712b6c69d603479c6f5c694"",""qkd_transcript_version"":1}",78986000,512,243,49,194,194,158,0.474609375,0.30859375,0.0,0.0,0.0,0,25,0,24,0,49,0.0,0.0,0.0,0.0,0.0,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,none,none,0,0,0,0,0,0,0,0,The classical BB84 channel is assumed authenticated externally.,,,,"{""implementation"":""cpython"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,78986000,"{""events"":[{""detail"":""QKD-ASSUMED"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""BB84 post-processing completed."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""completed""},{""detail"":""The classical BB84 channel is assumed authenticated externally."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""assumed_not_executed""},{""detail"":""Final key released after all profile checks."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""released""},{""detail"":""Authenticated QKD key released."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""established""}],""version"":1}"
1,916c487b-7e0c-4514-b816-579bf9df36d6,E3,intercept-0.1,0,1,3439fa15-a842-4cec-993c-afe4b9adef3d,false,,0,1,2026-09-08T07:42:07.760149+00:00,13622350606812119859,QKD-ASSUMED,6157,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E3,intercept-0.1,0,13622350606812119859,1,QKD-ASSUMED,QKD-ASSUMED,512,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""intercept-0.1"",""experiment_kind"":""E3"",""qkd_stages"":[{""intercept_fraction"":0.1,""type"":""intercept_resend""}],""replicate_index"":0,""seed"":13622350606812119859,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-ASSUMED"",""qkd_authentication_profile"":""QKD-ASSUMED"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":512,""version"":1},""tags"":[],""version"":1}","[{""intercept_fraction"":0.1,""type"":""intercept_resend""}]",,authentication explicitly assumed; no runtime material,,,,,,false,1,8e0dff6772dd93f47cd6bacfd343f958,QKD-ASSUMED,aborted,BB84 security abort: Universal-hash key confirmation failed after reconciliation.,,0,[],"{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""none"",""executed"":false,""mechanism"":""assumed"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""The classical BB84 channel is assumed authenticated externally."",""verified"":null}}","{""qkd_transcript_hash_sha384"":""2ca0c779642e482397d93533e1ea6e7825d2885f1990aa545e54dcd0d1fdfa0a17d6e8e9461959964cbc3e93737d3ef7"",""qkd_transcript_version"":1}",83264800,512,261,53,208,208,0,0.509765625,0.0,0.0,0.0,0.0,0,27,0,26,0,53,0.0,0.022988505747126436,0.022727272727272728,0.023255813953488372,0.022988505747126436,28467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,none,none,0,0,0,0,0,0,0,0,The classical BB84 channel is assumed authenticated externally.,,,,"{""implementation"":""cpython"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,83264800,"{""events"":[{""detail"":""QKD-ASSUMED"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Universal-hash key confirmation failed after reconciliation."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""aborted""},{""detail"":""The classical BB84 channel is assumed authenticated externally."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""assumed_not_executed""},{""detail"":""No final key material is exposed by the orchestration result."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""withheld""},{""detail"":""BB84 security abort: Universal-hash key confirmation failed after reconciliation."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""aborted""}],""version"":1}"
1,0d75aa37-51b8-4741-94bc-4b84503f6480,E3,intercept-0.2,0,1,3439fa15-a842-4cec-993c-afe4b9adef3d,false,,0,2,2026-09-08T07:42:07.907360+00:00,5068890742040911632,QKD-ASSUMED,6558,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E3,intercept-0.2,0,5068890742040911632,1,QKD-ASSUMED,QKD-ASSUMED,512,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""intercept-0.2"",""experiment_kind"":""E3"",""qkd_stages"":[{""intercept_fraction"":0.2,""type"":""intercept_resend""}],""replicate_index"":0,""seed"":5068890742040911632,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-ASSUMED"",""qkd_authentication_profile"":""QKD-ASSUMED"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":512,""version"":1},""tags"":[],""version"":1}","[{""intercept_fraction"":0.2,""type"":""intercept_resend""}]",,authentication explicitly assumed; no runtime material,,,,,,false,1,c3d18eacd659ca181b1ff02f52e8ed89,QKD-ASSUMED,aborted,"BB84 security abort: Per-basis errors Z=0.115385, X=0.038462 give phase-error bound 0.115385, above the configured asymptotic threshold 0.110000; aggregate QBER 0.076923 is not the phase-error bound.",,0,[],"{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""none"",""executed"":false,""mechanism"":""assumed"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""The classical BB84 channel is assumed authenticated externally."",""verified"":null}}","{""qkd_transcript_hash_sha384"":""ac02d58b4f71695a298c6610a1d105ba67de84c85214245e78f1fd35fd6830e7aa0415ec33bd69ba308939d116d18f93"",""qkd_transcript_version"":1}",88592900,512,254,52,202,0,0,0.49609375,0.0,0.11538461538461539,0.038461538461538464,0.07692307692307693,3,26,1,26,4,52,0.11538461538461539,0.047244094488188976,0.0546875,0.03968253968253968,0.047244094488188976,5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,none,none,0,0,0,0,0,0,0,0,The classical BB84 channel is assumed authenticated externally.,,,,"{""implementation"":""cpython"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,88592900,"{""events"":[{""detail"":""QKD-ASSUMED"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Per-basis errors Z=0.115385, X=0.038462 give phase-error bound 0.115385, above the configured asymptotic threshold 0.110000; aggregate QBER 0.076923 is not the phase-error bound."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""aborted""},{""detail"":""The classical BB84 channel is assumed authenticated externally."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""assumed_not_executed""},{""detail"":""No final key material is exposed by the orchestration result."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""withheld""},{""detail"":""BB84 security abort: Per-basis errors Z=0.115385, X=0.038462 give phase-error bound 0.115385, above the configured asymptotic threshold 0.110000; aggregate QBER 0.076923 is not the phase-error bound."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""aborted""}],""version"":1}"
1,0a03b094-865f-416f-9340-b72054520c55,E3,intercept-0.3,0,1,3439fa15-a842-4cec-993c-afe4b9adef3d,false,,0,3,2026-09-08T07:42:08.056842+00:00,17811592514622063318,QKD-ASSUMED,6555,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E3,intercept-0.3,0,17811592514622063318,1,QKD-ASSUMED,QKD-ASSUMED,512,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""intercept-0.3"",""experiment_kind"":""E3"",""qkd_stages"":[{""intercept_fraction"":0.3,""type"":""intercept_resend""}],""replicate_index"":0,""seed"":17811592514622063318,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-ASSUMED"",""qkd_authentication_profile"":""QKD-ASSUMED"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":512,""version"":1},""tags"":[],""version"":1}","[{""intercept_fraction"":0.3,""type"":""intercept_resend""}]",,authentication explicitly assumed; no runtime material,,,,,,false,1,58c0f444669eed09346048d5230b7405,QKD-ASSUMED,aborted,"BB84 security abort: Per-basis errors Z=0.111111, X=0.192308 give phase-error bound 0.192308, above the configured asymptotic threshold 0.110000; aggregate QBER 0.150943 is not the phase-error bound.",,0,[],"{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""none"",""executed"":false,""mechanism"":""assumed"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""The classical BB84 channel is assumed authenticated externally."",""verified"":null}}","{""qkd_transcript_hash_sha384"":""4eb9563c89b2ae39f01ae84dd2817b7e071d8710bdd86fadd345161479503497f2c5a30505f15a9266be2f41bce65f13"",""qkd_transcript_version"":1}",91651400,512,262,53,209,0,0,0.51171875,0.0,0.1111111111111111,0.19230769230769232,0.1509433962264151,3,27,5,26,8,53,0.19230769230769232,0.10687022900763359,0.12686567164179105,0.0859375,0.10687022900763359,5090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,none,none,0,0,0,0,0,0,0,0,The classical BB84 channel is assumed authenticated externally.,,,,"{""implementation"":""cpython"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,91651400,"{""events"":[{""detail"":""QKD-ASSUMED"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Per-basis errors Z=0.111111, X=0.192308 give phase-error bound 0.192308, above the configured asymptotic threshold 0.110000; aggregate QBER 0.150943 is not the phase-error bound."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""aborted""},{""detail"":""The classical BB84 channel is assumed authenticated externally."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""assumed_not_executed""},{""detail"":""No final key material is exposed by the orchestration result."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""withheld""},{""detail"":""BB84 security abort: Per-basis errors Z=0.111111, X=0.192308 give phase-error bound 0.192308, above the configured asymptotic threshold 0.110000; aggregate QBER 0.150943 is not the phase-error bound."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""aborted""}],""version"":1}"
1,7d7b6d83-e218-4b46-a618-9f9b6c62ec9d,E3,intercept-0.4,0,1,3439fa15-a842-4cec-993c-afe4b9adef3d,false,,0,4,2026-09-08T07:42:08.209389+00:00,5268077517882656484,QKD-ASSUMED,6550,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E3,intercept-0.4,0,5268077517882656484,1,QKD-ASSUMED,QKD-ASSUMED,512,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""intercept-0.4"",""experiment_kind"":""E3"",""qkd_stages"":[{""intercept_fraction"":0.4,""type"":""intercept_resend""}],""replicate_index"":0,""seed"":5268077517882656484,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-ASSUMED"",""qkd_authentication_profile"":""QKD-ASSUMED"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":512,""version"":1},""tags"":[],""version"":1}","[{""intercept_fraction"":0.4,""type"":""intercept_resend""}]",,authentication explicitly assumed; no runtime material,,,,,,false,1,de6d310eded31be8c46cdc0891d08649,QKD-ASSUMED,aborted,"BB84 security abort: Per-basis errors Z=0.115385, X=0.000000 give phase-error bound 0.115385, above the configured asymptotic threshold 0.110000; aggregate QBER 0.057692 is not the phase-error bound.",,0,[],"{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""none"",""executed"":false,""mechanism"":""assumed"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""The classical BB84 channel is assumed authenticated externally."",""verified"":null}}","{""qkd_transcript_hash_sha384"":""0a520451918057e6ef29ef607575ad5146df1fafde7b604a9cc6faf2b27d09829fcdf79f392b49d061d15dca051e4358"",""qkd_transcript_version"":1}",94450600,512,257,52,205,0,0,0.501953125,0.0,0.11538461538461539,0.0,0.057692307692307696,3,26,0,26,3,52,0.11538461538461539,0.10116731517509728,0.1076923076923077,0.09448818897637795,0.10116731517509728,5032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,none,none,0,0,0,0,0,0,0,0,The classical BB84 channel is assumed authenticated externally.,,,,"{""implementation"":""cpython"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,94450600,"{""events"":[{""detail"":""QKD-ASSUMED"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Per-basis errors Z=0.115385, X=0.000000 give phase-error bound 0.115385, above the configured asymptotic threshold 0.110000; aggregate QBER 0.057692 is not the phase-error bound."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""aborted""},{""detail"":""The classical BB84 channel is assumed authenticated externally."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""assumed_not_executed""},{""detail"":""No final key material is exposed by the orchestration result."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""withheld""},{""detail"":""BB84 security abort: Per-basis errors Z=0.115385, X=0.000000 give phase-error bound 0.115385, above the configured asymptotic threshold 0.110000; aggregate QBER 0.057692 is not the phase-error bound."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""aborted""}],""version"":1}"
1,07b8c108-0294-4938-98b8-aeb510cb1e75,E3,intercept-0.5,0,1,3439fa15-a842-4cec-993c-afe4b9adef3d,false,,0,5,2026-09-08T07:42:08.366273+00:00,16924681896069137847,QKD-ASSUMED,6565,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E3,intercept-0.5,0,16924681896069137847,1,QKD-ASSUMED,QKD-ASSUMED,512,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""intercept-0.5"",""experiment_kind"":""E3"",""qkd_stages"":[{""intercept_fraction"":0.5,""type"":""intercept_resend""}],""replicate_index"":0,""seed"":16924681896069137847,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-ASSUMED"",""qkd_authentication_profile"":""QKD-ASSUMED"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":512,""version"":1},""tags"":[],""version"":1}","[{""intercept_fraction"":0.5,""type"":""intercept_resend""}]",,authentication explicitly assumed; no runtime material,,,,,,false,1,dbe51c7613c13c42ce625216f5ab9c3c,QKD-ASSUMED,aborted,"BB84 security abort: Per-basis errors Z=0.111111, X=0.181818 give phase-error bound 0.181818, above the configured asymptotic threshold 0.110000; aggregate QBER 0.142857 is not the phase-error bound.",,0,[],"{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""none"",""executed"":false,""mechanism"":""assumed"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""The classical BB84 channel is assumed authenticated externally."",""verified"":null}}","{""qkd_transcript_hash_sha384"":""d5b4ce60c9a9f72ab370eaa26e0fe3b72d845be2c1c26c409d3b72a99098b7e760e79b62873dd8557b02f5cd58ee9141"",""qkd_transcript_version"":1}",98154500,512,244,49,195,0,0,0.4765625,0.0,0.1111111111111111,0.18181818181818182,0.14285714285714285,3,27,4,22,7,49,0.18181818181818182,0.10655737704918032,0.11940298507462686,0.09090909090909091,0.10655737704918032,4874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,none,none,0,0,0,0,0,0,0,0,The classical BB84 channel is assumed authenticated externally.,,,,"{""implementation"":""cpython"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,98154500,"{""events"":[{""detail"":""QKD-ASSUMED"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""Per-basis errors Z=0.111111, X=0.181818 give phase-error bound 0.181818, above the configured asymptotic threshold 0.110000; aggregate QBER 0.142857 is not the phase-error bound."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""aborted""},{""detail"":""The classical BB84 channel is assumed authenticated externally."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""assumed_not_executed""},{""detail"":""No final key material is exposed by the orchestration result."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""withheld""},{""detail"":""BB84 security abort: Per-basis errors Z=0.111111, X=0.181818 give phase-error bound 0.181818, above the configured asymptotic threshold 0.110000; aggregate QBER 0.142857 is not the phase-error bound."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""aborted""}],""version"":1}"
