profile,n,total_handshake_median_ns,total_handshake_q1_ns,total_handshake_q3_ns,total_handshake_iqr_ns,total_handshake_median_ms,ml_kem_keygen_median_ns,ml_kem_keygen_q1_ns,ml_kem_keygen_q3_ns,ml_kem_keygen_iqr_ns,ml_kem_keygen_median_ms,hqc_keygen_median_ns,hqc_keygen_q1_ns,hqc_keygen_q3_ns,hqc_keygen_iqr_ns,hqc_keygen_median_ms,server_offer_sign_median_ns,server_offer_sign_q1_ns,server_offer_sign_q3_ns,server_offer_sign_iqr_ns,server_offer_sign_median_ms,server_offer_verify_median_ns,server_offer_verify_q1_ns,server_offer_verify_q3_ns,server_offer_verify_iqr_ns,server_offer_verify_median_ms,ml_kem_encapsulate_median_ns,ml_kem_encapsulate_q1_ns,ml_kem_encapsulate_q3_ns,ml_kem_encapsulate_iqr_ns,ml_kem_encapsulate_median_ms,hqc_encapsulate_median_ns,hqc_encapsulate_q1_ns,hqc_encapsulate_q3_ns,hqc_encapsulate_iqr_ns,hqc_encapsulate_median_ms,client_exchange_sign_median_ns,client_exchange_sign_q1_ns,client_exchange_sign_q3_ns,client_exchange_sign_iqr_ns,client_exchange_sign_median_ms,client_exchange_verify_median_ns,client_exchange_verify_q1_ns,client_exchange_verify_q3_ns,client_exchange_verify_iqr_ns,client_exchange_verify_median_ms,ml_kem_decapsulate_median_ns,ml_kem_decapsulate_q1_ns,ml_kem_decapsulate_q3_ns,ml_kem_decapsulate_iqr_ns,ml_kem_decapsulate_median_ms,hqc_decapsulate_median_ns,hqc_decapsulate_q1_ns,hqc_decapsulate_q3_ns,hqc_decapsulate_iqr_ns,hqc_decapsulate_median_ms,transcript_construction_hash_median_ns,transcript_construction_hash_q1_ns,transcript_construction_hash_q3_ns,transcript_construction_hash_iqr_ns,transcript_construction_hash_median_ms,kem_combiner_encoding_median_ns,kem_combiner_encoding_q1_ns,kem_combiner_encoding_q3_ns,kem_combiner_encoding_iqr_ns,kem_combiner_encoding_median_ms,hkdf_session_median_ns,hkdf_session_q1_ns,hkdf_session_q3_ns,hkdf_session_iqr_ns,hkdf_session_median_ms,hkdf_confirmation_median_ns,hkdf_confirmation_q1_ns,hkdf_confirmation_q3_ns,hkdf_confirmation_iqr_ns,hkdf_confirmation_median_ms,finished_generation_median_ns,finished_generation_q1_ns,finished_generation_q3_ns,finished_generation_iqr_ns,finished_generation_median_ms,finished_verification_median_ns,finished_verification_q1_ns,finished_verification_q3_ns,finished_verification_iqr_ns,finished_verification_median_ms,kem_public_key_bytes_median,kem_ciphertext_bytes_median,signature_bytes_median,finished_bytes_median,canonical_protocol_bytes_median,transcript_bytes_median,public_key_provisioning_bytes_median,serialized_transport_bytes,pqc_alice_identity_generation_time_ns,pqc_bob_identity_generation_time_ns,pqc_total_identity_generation_time_ns,pqc_public_identity_bytes
PQC-DIVERSE,1,86461000.0,86461000.0,86461000.0,0.0,86.461,407900.0,407900.0,407900.0,0.0,0.4079,12940100.0,12940100.0,12940100.0,0.0,12.9401,2225800.0,2225800.0,2225800.0,0.0,2.2258,894100.0,894100.0,894100.0,0.0,0.8941,338300.0,338300.0,338300.0,0.0,0.3383,26090900.0,26090900.0,26090900.0,0.0,26.0909,1348600.0,1348600.0,1348600.0,0.0,1.3486,883800.0,883800.0,883800.0,0.0,0.8838,346500.0,346500.0,346500.0,0.0,0.3465,40224400.0,40224400.0,40224400.0,0.0,40.2244,360400.0,360400.0,360400.0,0.0,0.3604,21300.0,21300.0,21300.0,0.0,0.0213,54000.0,54000.0,54000.0,0.0,0.054,29000.0,29000.0,29000.0,0.0,0.029,41100.0,41100.0,41100.0,0.0,0.0411,27000.0,27000.0,27000.0,0.0,0.027,5698.0,10066.0,6618.0,96.0,16105.0,22852.0,3904.0,,858400.0,668600.0,1527000.0,3904.0
PQC-BASE,1,12765100.0,12765100.0,12765100.0,0.0,12.7651,308500.0,308500.0,308500.0,0.0,0.3085,,,,,,6613000.0,6613000.0,6613000.0,0.0,6.613,791300.0,791300.0,791300.0,0.0,0.7913,312700.0,312700.0,312700.0,0.0,0.3127,,,,,,3066500.0,3066500.0,3066500.0,0.0,3.0665,766000.0,766000.0,766000.0,0.0,0.766,347900.0,347900.0,347900.0,0.0,0.3479,,,,,,189600.0,189600.0,189600.0,0.0,0.1896,15400.0,15400.0,15400.0,0.0,0.0154,52500.0,52500.0,52500.0,0.0,0.0525,27400.0,27400.0,27400.0,0.0,0.0274,39100.0,39100.0,39100.0,0.0,0.0391,24900.0,24900.0,24900.0,0.0,0.0249,1184.0,1088.0,6618.0,96.0,2585.0,9332.0,3904.0,,858400.0,668600.0,1527000.0,3904.0
