profile,n,pqc_crypto_median_ns,pqc_crypto_iqr_ns,hybrid_composition_median_ns,hybrid_composition_iqr_ns,overhead_ratio_median,overhead_ratio_iqr,extra_transmitted_bytes_median,extra_transmitted_bytes_iqr,canonical_combiner_input_bytes_median,canonical_combiner_input_bytes_iqr,encoding_overhead_bytes_median,encoding_overhead_bytes_iqr,public_context_bytes_median,public_context_bytes_iqr
PQC-DIVERSE,30,88930300.0,2556825.0,,,,,,,,,,,,
HYBRID-DIVERSE,30,88202150.0,2674325.0,275200.0,6125.0,0.003116539127269875,0.0001362237017421804,482.0,0.0,610.0,4.5,345.0,0.0,289.0,0.0
PQC-BASE,30,8753200.0,2673625.0,,,,,,,,,,,,
HYBRID,30,8358650.0,4121950.0,262050.0,7850.0,0.03185343609361186,0.013007564624029695,466.0,0.0,489.5,4.75,256.0,0.0,267.0,0.0
