version,run_id,experiment_kind,condition_id,replicate_index,batch.version,batch.batch_run_id,batch.shuffle,batch.order_seed,batch.warmup_runs,execution_order_index,timestamp_utc,seed,profile,artifact.experiment_record_json_bytes,environment.python_version,environment.python_implementation,environment.numpy_version,environment.liboqs_python_version,environment.liboqs_version,environment.cryptography_version,environment.quantumsec_version,environment.os,environment.os_release,environment.os_version,environment.machine_architecture,environment.cpu_identifier,environment.git_commit_sha,environment.git_worktree_dirty,config.version,config.experiment_kind,config.condition_id,config.replicate_index,config.seed,config.session.version,config.session.profile,config.session.qkd_authentication_profile,config.session.qkd_signal_count,config.session.qkd_postprocessing,config.session.internal_pqc_profile,config.tags,config_json,qkd_stages_json,provisioning.pqc_identities,provisioning.qkd_authentication_material,provisioning.qkd_authentication_material_bytes_per_direction,provisioning.pqc_alice_identity_generation_time_ns,provisioning.pqc_bob_identity_generation_time_ns,provisioning.pqc_total_identity_generation_time_ns,provisioning.pqc_public_identity_bytes,provisioning.included_in_session_timings,result.version,result.session_id,result.profile,result.status,result.abort_reason,result.established_key.type,result.established_key.bit_length,result.provenance_json,result.authentication_json,result.public_context_json,metrics.qkd.simulation_time_ns,metrics.qkd.n_raw,metrics.qkd.n_sifted,metrics.qkd.n_disclosed,metrics.qkd.n_candidate,metrics.qkd.n_reconciled,metrics.qkd.n_final,metrics.qkd.sifting_efficiency,metrics.qkd.final_secret_fraction,metrics.qkd.estimated_qber_z,metrics.qkd.estimated_qber_x,metrics.qkd.estimated_qber_aggregated,metrics.qkd.estimated_z_errors,metrics.qkd.estimated_z_trials,metrics.qkd.estimated_x_errors,metrics.qkd.estimated_x_trials,metrics.qkd.estimated_aggregate_errors,metrics.qkd.estimated_aggregate_trials,metrics.qkd.phase_error_bound,metrics.qkd.diagnostic_full_sifted_qber,metrics.qkd.diagnostic_qber_z,metrics.qkd.diagnostic_qber_x,metrics.qkd.diagnostic_qber_aggregated,metrics.qkd.transcript_bytes,metrics.pqc.internal_profile,metrics.pqc.algorithms,metrics.pqc.server_offer_time_ns,metrics.pqc.server_processing_time_ns,metrics.pqc.client_exchange_time_ns,metrics.pqc.client_processing_time_ns,metrics.pqc.key_schedule_time_ns,metrics.pqc.confirmation_time_ns,metrics.pqc.crypto_software_time_ns,metrics.pqc.ml_kem_keygen_time_ns,metrics.pqc.hqc_keygen_time_ns,metrics.pqc.server_offer_sign_time_ns,metrics.pqc.server_offer_verify_time_ns,metrics.pqc.ml_kem_encapsulate_time_ns,metrics.pqc.hqc_encapsulate_time_ns,metrics.pqc.client_exchange_sign_time_ns,metrics.pqc.client_exchange_verify_time_ns,metrics.pqc.ml_kem_decapsulate_time_ns,metrics.pqc.hqc_decapsulate_time_ns,metrics.pqc.transcript_construction_hash_time_ns,metrics.pqc.kem_combiner_encoding_time_ns,metrics.pqc.hkdf_session_time_ns,metrics.pqc.hkdf_confirmation_time_ns,metrics.pqc.finished_generation_time_ns,metrics.pqc.finished_verification_time_ns,metrics.pqc.kem_public_key_bytes,metrics.pqc.kem_ciphertext_bytes,metrics.pqc.canonical_protocol_bytes,metrics.pqc.transcript_bytes,metrics.pqc.signature_bytes,metrics.pqc.finished_bytes,metrics.pqc.public_key_provisioning_bytes,metrics.pqc.serialized_transport_bytes,metrics.qkd_authentication.mechanism,metrics.qkd_authentication.algorithm,metrics.qkd_authentication.family,metrics.qkd_authentication.authenticated_bytes,metrics.qkd_authentication.evidence_bytes,metrics.qkd_authentication.checkpoints,metrics.qkd_authentication.generation_operations,metrics.qkd_authentication.verification_operations,metrics.qkd_authentication.generation_time_ns,metrics.qkd_authentication.verification_time_ns,metrics.qkd_authentication.total_time_ns,metrics.qkd_authentication.trust_assumption,metrics.qkd_authentication.secret_bits_consumed,metrics.qkd_authentication.public_key_provisioning_bytes,metrics.qkd_authentication.forgery_bound,metrics.qkd_authentication.runtime_environment,metrics.pqc_authentication.mechanism,metrics.pqc_authentication.algorithm,metrics.pqc_authentication.executed,metrics.pqc_authentication.verified,metrics.pqc_authentication.signatures_generated,metrics.pqc_authentication.signatures_verified,metrics.pqc_authentication.signature_bytes,metrics.pqc_authentication.trust_assumption,metrics.hybrid.component_count,metrics.hybrid.component_metadata_bytes,metrics.hybrid.qkd_contribution_bits,metrics.hybrid.ml_kem_contribution_bytes,metrics.hybrid.hqc_contribution_bytes,metrics.hybrid.canonical_combiner_input_bytes,metrics.hybrid.encoding_overhead_bytes,metrics.hybrid.public_context_bytes,metrics.hybrid.encoding_time_ns,metrics.hybrid.hkdf_session_time_ns,metrics.hybrid.hkdf_confirmation_time_ns,metrics.hybrid.finished_generation_time_ns,metrics.hybrid.finished_verification_time_ns,metrics.hybrid.finished_responder_bytes,metrics.hybrid.finished_initiator_bytes,metrics.hybrid.derived_session_key_bits,metrics.orchestration_software_wall_time_ns,trace_json
1,f4d00996-f80a-442a-83fa-ab7d7a6e56e2,E4,qkd-assumed,0,1,70eb2eac-58d8-4ac2-88b1-d5b3b4a7dc88,false,,0,0,2026-09-08T07:42:09.435247+00:00,14327934917155077723,QKD-ASSUMED,6181,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E4,qkd-assumed,0,14327934917155077723,1,QKD-ASSUMED,QKD-ASSUMED,1024,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""qkd-assumed"",""experiment_kind"":""E4"",""qkd_stages"":[{""type"":""identity""}],""replicate_index"":0,""seed"":14327934917155077723,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-ASSUMED"",""qkd_authentication_profile"":""QKD-ASSUMED"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":1024,""version"":1},""tags"":[],""version"":1}","[{""type"":""identity""}]",,authentication explicitly assumed; no runtime material,,,,,,false,1,e3ff03d1705b4417ffdd1dd70bb2f661,QKD-ASSUMED,established,,qkd_bitstring,393,"[{""algorithm"":""privacy-amplified-bitstring"",""bit_length"":393,""byte_length"":50,""encoding"":""big-endian packed bits with explicit bit length"",""position"":1,""protocol"":""BB84"",""source"":""qkd""}]","{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""none"",""executed"":false,""mechanism"":""assumed"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""The classical BB84 channel is assumed authenticated externally."",""verified"":null}}","{""qkd_transcript_hash_sha384"":""f5f71868f1b70575b2d6e35be993c8c75cb7849d8e7225a4a93273dbad9d81a6a5aaf432e87123dbb7e1c03ea6568cb1"",""qkd_transcript_version"":1}",152846700,1024,537,108,429,429,393,0.5244140625,0.3837890625,0.0,0.0,0.0,0,57,0,51,0,108,0.0,0.0,0.0,0.0,0.0,54210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,none,none,0,0,0,0,0,0,0,0,The classical BB84 channel is assumed authenticated externally.,,,,"{""implementation"":""cpython"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,152846700,"{""events"":[{""detail"":""QKD-ASSUMED"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""BB84 post-processing completed."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""completed""},{""detail"":""The classical BB84 channel is assumed authenticated externally."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""assumed_not_executed""},{""detail"":""Final key released after all profile checks."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""released""},{""detail"":""Authenticated QKD key released."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""established""}],""version"":1}"
1,ba0e0966-958b-4371-8dbc-60710e448efc,E4,qkd-classical-auth,0,1,70eb2eac-58d8-4ac2-88b1-d5b3b4a7dc88,false,,0,1,2026-09-08T07:42:09.940907+00:00,14327934917155077723,QKD-CLASSICAL-AUTH,6674,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E4,qkd-classical-auth,0,14327934917155077723,1,QKD-CLASSICAL-AUTH,QKD-CLASSICAL-AUTH,1024,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""qkd-classical-auth"",""experiment_kind"":""E4"",""qkd_stages"":[{""type"":""identity""}],""replicate_index"":0,""seed"":14327934917155077723,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-CLASSICAL-AUTH"",""qkd_authentication_profile"":""QKD-CLASSICAL-AUTH"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":1024,""version"":1},""tags"":[],""version"":1}","[{""type"":""identity""}]",,fresh pre-shared authentication material per run,655360,,,,,false,1,e3ff03d1705b4417ffdd1dd70bb2f661,QKD-CLASSICAL-AUTH,established,,qkd_bitstring,393,"[{""algorithm"":""privacy-amplified-bitstring"",""bit_length"":393,""byte_length"":50,""encoding"":""big-endian packed bits with explicit bit length"",""position"":1,""protocol"":""BB84"",""source"":""qkd""}]","{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""Toeplitz-U2+one-time-mask-128"",""executed"":true,""mechanism"":""wegman_carter"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""Alice and Bob hold identical, uniformly random, pre-shared authentication material; every Toeplitz selector and one-time tag mask is fresh and never reused."",""verified"":true}}","{""qkd_transcript_hash_sha384"":""f5f71868f1b70575b2d6e35be993c8c75cb7849d8e7225a4a93273dbad9d81a6a5aaf432e87123dbb7e1c03ea6568cb1"",""qkd_transcript_version"":1}",158883200,1024,537,108,429,429,393,0.5244140625,0.3837890625,0.0,0.0,0.0,0,57,0,51,0,108,0.0,0.0,0.0,0.0,0.0,54210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wegman_carter,Toeplitz-U2+one-time-mask-128,information-theoretic universal-hash authentication,108718,32,2,2,2,142570000,140791400,283361400,"Alice and Bob hold identical, uniformly random, pre-shared authentication material; every Toeplitz selector and one-time tag mask is fresh and never reused.",870254,,<= 2^-128 per fresh-key checkpoint,"{""implementation"":""cpython"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,442244600,"{""events"":[{""detail"":""QKD-CLASSICAL-AUTH"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""BB84 post-processing completed."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""completed""},{""detail"":""Alice and Bob hold identical, uniformly random, pre-shared authentication material; every Toeplitz selector and one-time tag mask is fresh and never reused."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""executed_verified""},{""detail"":""Final key released after all profile checks."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""released""},{""detail"":""Authenticated QKD key released."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""established""}],""version"":1}"
1,08ce3945-0cab-4e4d-a3ef-6f3307742b8d,E4,qkd-pqc-auth,0,1,70eb2eac-58d8-4ac2-88b1-d5b3b4a7dc88,false,,0,2,2026-09-08T07:42:10.197429+00:00,14327934917155077723,QKD-PQC-AUTH,6433,3.14.7,CPython,2.5.0,0.16.0,0.16.0,50.0.1,0.1.0,Windows,11,10.0.26200,AMD64,"Intel64 Family 6 Model 158 Stepping 12, GenuineIntel",ac46477bb374bde1c0ace1ef0bcfbc26b199dcfa,true,1,E4,qkd-pqc-auth,0,14327934917155077723,1,QKD-PQC-AUTH,QKD-PQC-AUTH,1024,"{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32}",,[],"{""condition_id"":""qkd-pqc-auth"",""experiment_kind"":""E4"",""qkd_stages"":[{""type"":""identity""}],""replicate_index"":0,""seed"":14327934917155077723,""session"":{""internal_pqc_profile"":null,""profile"":""QKD-PQC-AUTH"",""qkd_authentication_profile"":""QKD-PQC-AUTH"",""qkd_postprocessing"":{""cascade_initial_block_factor"":0.73,""cascade_maximum_initial_block_size"":null,""cascade_maximum_lookback_steps"":null,""cascade_passes"":4,""phase_error_abort_threshold"":0.11,""sample_fraction"":0.2,""security_margin_bits"":0,""verification_tag_length"":32},""qkd_signal_count"":1024,""version"":1},""tags"":[],""version"":1}","[{""type"":""identity""}]",,persistent pre-provisioned ML-DSA identities; fresh anti-replay registry per run,,,,,,false,1,e3ff03d1705b4417ffdd1dd70bb2f661,QKD-PQC-AUTH,established,,qkd_bitstring,393,"[{""algorithm"":""privacy-amplified-bitstring"",""bit_length"":393,""byte_length"":50,""encoding"":""big-endian packed bits with explicit bit length"",""position"":1,""protocol"":""BB84"",""source"":""qkd""}]","{""pqc_exchange"":null,""qkd_classical"":{""algorithm"":""ML-DSA-65"",""executed"":true,""mechanism"":""ml_dsa_65"",""purpose"":""QKD classical transcript authentication"",""trust_assumption"":""Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session."",""verified"":true}}","{""qkd_transcript_hash_sha384"":""f5f71868f1b70575b2d6e35be993c8c75cb7849d8e7225a4a93273dbad9d81a6a5aaf432e87123dbb7e1c03ea6568cb1"",""qkd_transcript_version"":1}",181554300,1024,537,108,429,429,393,0.5244140625,0.3837890625,0.0,0.0,0.0,0,57,0,51,0,108,0.0,0.0,0.0,0.0,0.0,54210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ml_dsa_65,ML-DSA-65,post-quantum digital signature,108718,6618,2,2,2,7562700,3140700,10703400,Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session.,,3904,,"{""implementation"":""cpython"",""liboqs"":""0.16.0"",""liboqs-python"":""0.16.0"",""platform"":""Windows-11-10.0.26200-SP0"",""processor"":""Intel64 Family 6 Model 158 Stepping 12, GenuineIntel"",""python"":""3.14.7""}",,,,,,,,,,,,,,,,,,,,,,,,,192257700,"{""events"":[{""detail"":""QKD-PQC-AUTH"",""sequence"":0,""source"":""session"",""stage"":""session"",""state"":""started""},{""detail"":""BB84 post-processing completed."",""sequence"":1,""source"":""qkd"",""stage"":""bb84"",""state"":""completed""},{""detail"":""Peer ML-DSA-65 public identities are authenticated and pre-provisioned before the QKD session."",""sequence"":2,""source"":""qkd"",""stage"":""classical_authentication"",""state"":""executed_verified""},{""detail"":""Final key released after all profile checks."",""sequence"":3,""source"":""qkd"",""stage"":""key_release"",""state"":""released""},{""detail"":""Authenticated QKD key released."",""sequence"":4,""source"":""session"",""stage"":""session"",""state"":""established""}],""version"":1}"
