profile,n,total_handshake_median_ns,total_handshake_q1_ns,total_handshake_q3_ns,total_handshake_iqr_ns,total_handshake_median_ms,ml_kem_keygen_median_ns,ml_kem_keygen_q1_ns,ml_kem_keygen_q3_ns,ml_kem_keygen_iqr_ns,ml_kem_keygen_median_ms,hqc_keygen_median_ns,hqc_keygen_iqr_ns,server_offer_sign_median_ns,server_offer_sign_q1_ns,server_offer_sign_q3_ns,server_offer_sign_iqr_ns,server_offer_sign_median_ms,server_offer_verify_median_ns,server_offer_verify_q1_ns,server_offer_verify_q3_ns,server_offer_verify_iqr_ns,server_offer_verify_median_ms,ml_kem_encapsulate_median_ns,ml_kem_encapsulate_q1_ns,ml_kem_encapsulate_q3_ns,ml_kem_encapsulate_iqr_ns,ml_kem_encapsulate_median_ms,hqc_encapsulate_median_ns,hqc_encapsulate_iqr_ns,client_exchange_sign_median_ns,client_exchange_sign_q1_ns,client_exchange_sign_q3_ns,client_exchange_sign_iqr_ns,client_exchange_sign_median_ms,client_exchange_verify_median_ns,client_exchange_verify_q1_ns,client_exchange_verify_q3_ns,client_exchange_verify_iqr_ns,client_exchange_verify_median_ms,ml_kem_decapsulate_median_ns,ml_kem_decapsulate_q1_ns,ml_kem_decapsulate_q3_ns,ml_kem_decapsulate_iqr_ns,ml_kem_decapsulate_median_ms,hqc_decapsulate_median_ns,hqc_decapsulate_iqr_ns,transcript_construction_hash_median_ns,transcript_construction_hash_q1_ns,transcript_construction_hash_q3_ns,transcript_construction_hash_iqr_ns,transcript_construction_hash_median_ms,kem_combiner_encoding_median_ns,kem_combiner_encoding_q1_ns,kem_combiner_encoding_q3_ns,kem_combiner_encoding_iqr_ns,kem_combiner_encoding_median_ms,hkdf_session_median_ns,hkdf_session_q1_ns,hkdf_session_q3_ns,hkdf_session_iqr_ns,hkdf_session_median_ms,hkdf_confirmation_median_ns,hkdf_confirmation_q1_ns,hkdf_confirmation_q3_ns,hkdf_confirmation_iqr_ns,hkdf_confirmation_median_ms,finished_generation_median_ns,finished_generation_q1_ns,finished_generation_q3_ns,finished_generation_iqr_ns,finished_generation_median_ms,finished_verification_median_ns,finished_verification_q1_ns,finished_verification_q3_ns,finished_verification_iqr_ns,finished_verification_median_ms,kem_public_key_bytes_median,kem_ciphertext_bytes_median,signature_bytes_median,finished_bytes_median,canonical_protocol_bytes_median,transcript_bytes_median,public_key_provisioning_bytes_median,serialized_transport_bytes,pqc_alice_identity_generation_time_ns,pqc_bob_identity_generation_time_ns,pqc_total_identity_generation_time_ns,pqc_public_identity_bytes,hqc_keygen_q1_ns,hqc_keygen_q3_ns,hqc_keygen_median_ms,hqc_encapsulate_q1_ns,hqc_encapsulate_q3_ns,hqc_encapsulate_median_ms,hqc_decapsulate_q1_ns,hqc_decapsulate_q3_ns,hqc_decapsulate_median_ms
PQC-BASE,50,8826050.0,7073275.0,11776125.0,4702850.0,8.82605,295800.0,293575.0,299450.0,5875.0,0.2958,,,2121250.0,1620875.0,3633925.0,2013050.0,2.12125,771050.0,768800.0,773300.0,4500.0,0.77105,300600.0,298625.0,305350.0,6725.0,0.3006,,,3168350.0,2172700.0,4296950.0,2124250.0,3.16835,765850.0,763775.0,772100.0,8325.0,0.76585,351250.0,347600.0,353425.0,5825.0,0.35125,,,189400.0,188050.0,192900.0,4850.0,0.1894,15300.0,15000.0,15700.0,700.0,0.0153,48650.0,47525.0,49575.0,2050.0,0.04865,24700.0,24500.0,25000.0,500.0,0.0247,38450.0,38000.0,38975.0,975.0,0.03845,23750.0,23500.0,24175.0,675.0,0.02375,1184.0,1088.0,6618.0,96.0,2585.0,9332.0,3904.0,,858800.0,667500.0,1526300.0,3904.0,,,,,,,,,
PQC-DIVERSE,50,89018950.0,87894875.0,90759725.0,2864850.0,89.01895,294200.0,292900.0,297000.0,4100.0,0.2942,13231400.0,25425.0,2801250.0,1864150.0,3761900.0,1897750.0,2.80125,838550.0,837300.0,839975.0,2675.0,0.83855,303400.0,301625.0,305850.0,4225.0,0.3034,26437100.0,60075.0,2391600.0,1770850.0,4177800.0,2406950.0,2.3916,901700.0,900200.0,904725.0,4525.0,0.9017,356600.0,354225.0,358725.0,4500.0,0.3566,40204700.0,66000.0,354650.0,350400.0,365025.0,14625.0,0.35465,20550.0,20125.0,21250.0,1125.0,0.02055,51800.0,51200.0,52400.0,1200.0,0.0518,25850.0,25500.0,26175.0,675.0,0.02585,40050.0,39700.0,40800.0,1100.0,0.04005,23900.0,23700.0,24300.0,600.0,0.0239,5698.0,10066.0,6618.0,96.0,16105.0,22852.0,3904.0,,858800.0,667500.0,1526300.0,3904.0,13224950.0,13250375.0,13.2314,26404900.0,26464975.0,26.4371,40182850.0,40248850.0,40.2047
